0.076422715,,,,,,Conversion Execution Time: AA0000 to AA00,,,
0.065605409,,,,,,Execution:,2Initials-4Digits,2Initials-2Digits,
0.065511958,,,,,,1st,0.076422715,0.000764227,
0.065472567,,,,,,2nd,0.065605409,0.000656054,
0.064466651,,,,,,3rd,0.065511958,0.00065512,
0.064950103,,,,,,4th,0.065472567,0.000654726,
0.064689338,,,,,,5th,0.064466651,0.000644667,
0.065039619,,,,,,6th ,0.064950103,0.000649501,
0.064591186,,,,,,7th,0.064689338,0.000646893,
0.064749181,,,,,,8th,0.065039619,0.000650396,
,,,,,,9th,0.064591186,0.000645912,
,,,,,,10th,0.064749181,0.000647492,
,,0.066149873,,,,MeanTIme:,0.066149873,0.000661499,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
