0.568992036,,,,,,,,,,,,,,,
0.580131717,,,,,,,,,,,,,,,
0.585437173,,,,,,"Mean Running Time: Linear Legression, BY Thread",,,,,,,,,
0.573185797,,,,,,,,,,,,,,,
0.575953867,,,,,,IN second,,,,,,,,,
0.578673623,,,,,,,Execution:,Time in Second,,,,,,,
0.576416028,,,,,,,1st,0.568992036,,,,,,,
0.576564084,,,,,,,2nd,0.580131717,,,,,,,
0.571032151,,,,,,,3rd,0.585437173,,,,,,,
0.57094154,,,,,,,4th,0.573185797,,,,,,,
,,,,,,,5th,0.575953867,,,,,,,
,,,,,,,6th,0.578673623,,,,,,,
,,0.575732802,,,,,7th,0.576416028,,,,,,,
,,,,,,,8th,0.576564084,,,,,,,
,,,,,,,9th,0.571032151,,,,,,,
,,,,,,,10th,0.57094154,,,,,,,
,,,,,,,Mean Time:,0.575732802,,,,,,,
,,,,,,,,,,,,,,,
